ticker,score_date,headlines,actual_return,haiku,sonnet,opus
A,2026-06-16,"[""IREN Ltd (IREN) Is A Stock That Can Skyrocket On The New Cloud Boom"", ""A stock market crash might not be bad news for everyone"", ""Worried About a Stock Market Crash? 2 Magnificant Dividend Stocks You Can Buy Today and Hold Forever"", ""Indian shares extend gains on US-Iran peace deal"", ""What Applied Materials Stock Was Shouting Before the Surge"", ""Berkshire Hathaway (BRK.A) Stock Valuation Review After Cooling Momentum And Undervaluation Debate"", ""Quantum Computing Stock Rallies 12% Ahead of Major June Conference Schedule and Photonics Platform Showcase"", ""The 5 Best Stocks To Buy And Watch Right Now"", ""Could The Vanguard S&P 500 ETF Be Your Ticket to Becoming a Stock Market Millionaire? History Offers a Clear Answer."", ""Jones Lang LaSalle (JLL) Stock After Strong 3-Year Rally Is The Price Still Attractive""]",-0.014414824114927196,62.0,72.0,35.0
ACGL,2026-06-16,"[""Arch Capital debt tender: $218,712,000 of 2043s, $199,139,000 of 2046s"", ""Arch Capital Group (ACGL) Stock After Leadership Shift And Long Term Debt Raise Is It Undervalued"", ""Arch Capital (NASDAQ: ACGL) chair Pasquesi reports 2.0M-share bona fide stock gifts""]",-0.005832803033561918,35.0,5.0,5.0
ADP,2026-06-16,"[""ADP data: U.S. hiring slows for 4th week, 25,500 jobs added"", ""Forget the Labor Market Noise: This Essential Business Utility Stock Is the Ultimate \u201cSet-It-and-Forget-It\u201d Cash Cow"", ""ADP Stock Rises 3%, Boosted by Easing Tensions in the Middle East"", ""Intuit Stock's Real Growth Story Isn't The One You're Watching"", ""Automatic Data Processing And 2 Other Reliable Dividend Stocks To Consider"", ""1 Unpopular Stock That Should Get More Attention and 2 We Find Risky""]",-0.03333330584001971,-15.0,15.0,15.0
AFL,2026-06-16,"[""Japan Post trust trims AFLAC (AFL) stake with 48,500-share sale""]",-0.007324764360169272,-25.0,-15.0,-5.0
AKAM,2026-06-16,"[""Akamai Technologies (AKAM) Stock After New AI Agentic Framework And Partnerships What Is The Valuation Signal"", ""[Form 4] AKAMAI TECHNOLOGIES INC Insider Trading Activity"", ""AI \u2018shoppers\u2019 online: Akamai builds identity checks for agent traffic""]",-0.08744614850212223,45.0,35.0,35.0
ALL,2026-06-16,"[""Olin, Huntsman to combine in all-stock merger of equals (OLN:NYSE)"", ""SkyAI, Inc. Receives Unsolicited Proposal for All-Stock Business Combination from Forward Industries, Inc."", ""OLIN and HUNTSMAN Announce Transformative Merger of Equals to Create a $12+ Billion Integrated North American Chemicals Leader"", ""HUN: All-stock merger creates a $12B+ chemicals leader with $400M+ synergies and global reach"", ""Huntsman And Olin Merge In All-Stock Deal To Tackle Global Specialty Chemicals Challenges \u2013 \u2018We Compete More Today Against Countries Than Companies\u2019"", ""SpaceX to acquire Cursor developer Anysphere for $60 billion in all-stock deal"", ""Forward Industries proposes all-stock merger with SkyAI"", ""SpaceX agrees to buy Cursor parent Anysphere for $60 billion"", ""Olin and Huntsman agree all-stock merger to form $12B+ OlinHuntsman with $400M+ synergies"", ""Forward Industries Proposes All-Stock Business Combination with SkyAI, Inc.""]",-0.002375717369658039,35.0,72.0,35.0
AMD,2026-06-16,"[""AMD Stock Soars. It\u2019s Buying MEXT to Fight Memory Shortage."", ""Is Advanced Micro Devices, Inc. (AMD) A Good Stock To Buy Now?"", ""AMD and Rackspace plan 30 MW AI cloud for regulated industries and healthcare"", ""Rackspace Technology stock surges 30% on AMD AI compute deal By Investing.com"", ""Why This AI Data Center Stock Is Surging 21% on an AMD Partnership"", ""Citi Calls AMD a Rising Force in the GPU Market, Upgrades Shares to Buy"", ""Micron, AMD Lead Chip Stocks Rally On U.S.-Iran Deal"", ""Better Artificial Intelligence (AI) Inference Stock: AMD vs. Intel"", ""AMD stock rallies after MEXT acquisition; targets AI memory bottleneck"", ""Is it Too Late to Buy AMD Stock?""]",0.08740561728206046,75.0,72.0,72.0
AMT,2026-06-16,"[""American Tower (AMT) Stock After Recent Volatility Is The Current Price A Potential Opportunity"", ""Is AMT Overvalued? DCF Says Worth $134"", ""Did American Tower\u2019s (AMT) Note Redemption and Rating Upgrade Just Reframe Its 5G Infrastructure Story?"", ""AMT vs. PSA: Which Stock Is the Better Value Option?"", ""Bernstein Upgrades American Tower (AMT) on Long-Term 5G and Data Center Demand"", ""Key Reasons to Add Vornado Stock to Your Portfolio Right Now""]",-0.043584368687148586,42.0,35.0,35.0
APA,2026-06-16,"[""APA Corp. stock underperforms Monday when compared to competitors"", ""APA slides as oil prices fall on renewed U.S.\u2013Iran ceasefire framework, pressuring energy shares"", ""APA Corp (APA) Stock Down 6.1% but Still Overvalued -- GF Score: 58/100"", ""APA (NASDAQ:APA) Shares Gap Down - Here's Why"", ""Which S&P500 stocks are gapping on Monday?"", ""APA Corporation Acquires Savant Alaska in $70 Million Deal"", ""APA Group (ASX:APA) Shares Could Be 18.4% Overvalued After Capital Allocation Reset"", ""Dockside LLC Acquires Shares of 120,426 APA Corporation $APA"", ""Stocks Rally as US-Iran Peace Deal Sinks Oil and Bond Yields"", ""Stocks Soar on US-Iran Peace Agreement""]",-0.0017512423097826057,-35.0,-35.0,-35.0
APTV,2026-06-16,"[""Aptiv PLC (APTV) Stock Declines While Market Improves: Some Information for Investors"", ""Aptiv (APTV) Stock After New AI Cabin System Launch What Does Recent News Suggest About Valuation"", ""APTV (NYSE: APTV) brokered sale notice lists 3,000 shares"", ""Aptiv (APTV) to Unveil Innovative Automation Solutions at Automa"", ""Aptiv PLC (APTV) is Attracting Investor Attention: Here is What You Should Know"", ""How Aptiv technology makes industrial robots smarter and safer with AI"", ""Is Aptiv Stock Underperforming the S&P 500?""]",-0.03212546590358783,35.0,-15.0,15.0
ASML,2026-06-16,"[""ASML: Expensive, Rare, But Still Worth Buying (NASDAQ:ASML)"", ""Elon Musk Needs ASML for Terafab. You Don\u2019t Need ASML Stock in Your Portfolio."", ""Elon Musk Targets ASML Machinery For Massive Texas Chip Fabrication Plant"", ""ASML Stock at 48x Forward Earnings: The AI Bottleneck Trade Needs Proof"", ""ASML Holding (ASML) Stock Analysis: Quant"", ""Forget ASML Holding: 1 Unstoppable AI Cash-Flow Machine to Buy Hand Over Fist After the Pullback"", ""Advanced Energy (AEIS) Moves 4.6% Higher: Will This Strength Last?"", ""Chips Up 8.8% in One Week: 5 Semiconductor Names Breaking Into New Highs"", ""Mistral AI weighs new funding at $23bn valuation""]",0.06949425094300668,35.0,15.0,25.0
AVY,2026-06-16,"[""Large-cap materials stock check: GLNCY and LYB lead quant ranks; AVY and HDLMY sit at bottom after earnings"", ""Amcor names new leadership for flexible packaging and investor relations"", ""Amcor taps Avery Dennison exec to lead global flexibles""]",-0.02742096400454258,-15.0,-25.0,-15.0
