id,name,family,layer,role,formula,data_source,series_or_endpoint,history_start,frequency,publication_lag,threshold_arm,threshold_red,persistence_days,direction,tier,historical_verdict_2000,historical_verdict_2008,verdict_2022,cost_bps_roundtrip,max_staleness_days,notes
S1,Term-spread regime,macro,L2,predictor,"m_avg(DGS10-DTB3); ARM if <0 for >=2 of 3 consecutive months; ESCALATE if re-steepens +50bp from trough after >=6m inversion",FRED/ALFRED,DGS10;DTB3,1962-01-02,daily->monthly,1 day,inversion 2/3mo,re-steepening escalation,21,inversion_bearish,shortlist,fired Feb+Jul 2000,fired Aug06-May07 + Jun07 re-steepen,post-peak only,5,7,false positives: 1966-67; 1998/2018 correctly no-fire
S2,Credit trend & credit-equity divergence,credit,L2,predictor,"spread>200d MA AND spread>=126d_low+75bp WHILE SPX within 3% of 52w high (21d)",FRED,BAA10YM primary history; BAMLH0A0HYM2 rolling 3y window (archive it),1953-04-01,daily/monthly,1 day,half-condition,full condition,10,widening_bearish,shortlist,weak fire (+44bp Jan-Mar00),strong fire (Jun-Oct07),correctly silent,10,7,PAIR WITH S3 or S15 to kill 1998/2011/2015/2018 false fires; FRED ICE truncation flagged
S3,SLOOS lending standards,credit,L2,predictor,"C&I net tightening: amber >+10 red >+20; CRE red >+30",Fed/FRED,DRTSCILM (+CRE tables),1990-04-01,quarterly,~5 weeks,+10,+20 (CRE +30),1 obs,tightening_bearish,shortlist,REPRODUCIBLE 1999-2000,fired Jul07 +7.5 / Oct07 +19.2,silent,0,120,verified prints: 7.5/19.2/32.1/83.6 (2007Q3-2008Q4)
S4,Funding stress,funding,L3,rupture,"hist: TED z>2 (1y) AND >100bp for >=5d. modern: F10 composite (CP-Tbill; SOFR-IORB; ABCP 4wk delta)",FRED,TEDRATE(1986-2022);ABCOMP;CP series TBD,1986-01-02,daily/weekly,1 day,z>1.5,z>2 & level,5,stress_bearish,shortlist,quiet (REPRODUCIBLE),LED PEAK BY 2 MONTHS (TED 2.42 Aug-20-07),silent,5,3,the 2007 anomaly; 1998+2023-local false fires filtered by S3/S15 pairing + breadth-of-stress rule
S5,Breadth divergence composite,internals,L2,predictor,"2 of 3: (a) cum A/D lower-high vs index 52w-high over >=126td; (b) %>200DMA<60% at 52w high; (c) new 52w lows>2.5% of issues on >=5 of 21td with index within 5% of high",own universe (Massive) fwd; literature hist,daily bars all active+delisted,forward-only (hist=literature),daily,0,1 of 3,2 of 3,21,divergence_bearish,shortlist,fired Apr98 (23mo lead),fired ~Jun07 (4mo),fired late-2021,15,3,survivorship-safe forward only; historical cells literature-sourced
S6,Concentration / equal-weight lag,internals,L2,scaler,"EW_minus_CW 126td relative return < -4% while SPX within 3% of high",RSP/SPXEW 2003+; French size pre-2003,RSP;SPXEW;French,2003-01-08 (French 1926),daily,0,-2%,-4%,21,narrowing_bearish,shortlist,fired 1998-2000,mild,fired 2021,10,3,
S7,Defensive rotation,internals,L2,scaler,"mean RS(XLP;XLU;healthcare) vs SPY 63td > +5% while SPX within 3% of high",sector ETFs 1998-12+; French industries pre,XLP;XLU;XLV;SPY,1998-12-16,daily,0,+3%,+5%,21,rotation_bearish,shortlist,REPRODUCIBLE,REPRODUCIBLE,REPRODUCIBLE,10,3,no sourced historical print - honest cell
S8,Epicenter fracture,internals,L2,predictor,"leader:=sector/theme top trailing-2y RS. FIRE if leader -15% from its high AND <its 200DMA while SPX within 5% of its high",own universe / sector ETFs / French industries,universe RS ranks,full (French),daily,0,-10% & <200DMA,-15% & <200DMA,10,fracture_bearish,shortlist,fired Apr-2000 (tech),fired Aug05(builders)/2007(financials),fired Feb-2021 (ARKK complex),15,3,best cross-crash internal 3/3; 2023 banks false fire filtered by market-wide layer confirmation
S9,Aggregate short interest,positioning,L2,predictor,"detrended log aggregate SI (linear trend to date) z > +1.5 (12m)",FINRA files (2014+),equity SI files,2014 (fwd),semi-monthly,~8 bus days,z>1,z>1.5,1 obs,rising_SI_bearish,shortlist,UNDECIDABLE (institutional),UNDECIDABLE,REPRODUCIBLE,5,20,Rapach et al 2016 evidence class
S10,Margin-debt blowoff & reversal,leverage,L1+trigger,confirmer,"fragility: YoY>+40%. trigger: first 3m decline from peak (as of publication date)",FINRA margin statistics,margin stats xlsx,1997-01,monthly,~3 weeks,YoY>+30%,YoY>+40% then 3m reversal,1 obs,reversal_bearish,shortlist,peak Mar-00 coincident; trigger ~Jun-Jul00 with 96% of decline remaining,peak Oct-07; trigger ~Jan-08 with 49% remaining,peak Oct-21 led index peaks 1-2mo,0,45,coincident confirmer with small lag - valuable because slow bears are long
S11,Issuance quantity & quality,positioning,L1,fragility,"equity leg: IPO count + mean first-day return in top decile (hist to date). credit leg: HY share of gross corp issuance top quintile",Ritter site; SIFMA,annual/qtrly tables,1980,quarterly/annual,~1 quarter,top quintile,top decile,1 obs,froth_bearish,shortlist,extreme (476 IPOs @71.2% 1999),equity leg silent; HY leg = 05-07 boom,record 2021 ($436B; 397 IPO+613 SPAC),0,120,two legs map to two bear paths
S12,Insider breadth,positioning,L2,predictor,"open-market sellers/(sellers+buyers) filer-count 3m avg z>+2 vs 3y; codes S vs P only; exclude exercise/tax codes",SEC EDGAR Form 4,EDGAR full-text/daily indices,2003-06-30,daily->monthly,2 bus days,z>1.5,z>2,21,selling_bearish,shortlist,UNDECIDABLE (paper era),REPRODUCIBLE (EDGAR 2003+),REPRODUCIBLE,0,10,pre-2002 lag was up to ~40 days - never backtest earlier with modern lag
