ticker,bucket,tier,thesis,notes
AAPL,Core Silicon,core,2.0,Hyperscaler customer — AI inference demand
ABNB,Consumer Tech,tactical,4.0,AI disruption exposure — travel booking
ABT,Healthcare,tactical,4.0,Diversifier — non-AI
ADSK,Enterprise Software,tactical,4.0,AI capturer — design/engineering
AI,Enterprise Software,lotto,4.0,C3.ai — pure AI play high beta
ALK,Consumer,tactical,4.0,Macro diversifier
AMD,Core Silicon,core,2.0,GPU alternative to NVDA — custom silicon
AMPX,Energy Storage,lotto,3.0,Physical AI adjacent — battery tech
AMZN,Hyperscaler,core,1.0,AWS capex — AI infrastructure
APLD,Neoclouds,lotto,4.0,High-beta AI infrastructure
ARM,Core Silicon,core,2.0,CPU/NPU IP — every AI chip uses ARM
ASAN,Enterprise Software,lotto,4.0,SaaS victim — seat count risk
ASTS,Space Tech,lotto,3.0,High-beta speculative
AXP,Financials,tactical,4.0,Macro diversifier
AZN,Healthcare,tactical,4.0,Diversifier
BA,Industrials,tactical,4.0,Macro diversifier
BETR,Consumer,lotto,4.0,High beta speculative
BRKR,Scientific Instruments,tactical,4.0,Semiconductor equipment adjacent
BSX,Healthcare,tactical,4.0,Diversifier
CAVA,Consumer,lotto,4.0,High beta speculative
CI,Healthcare,tactical,4.0,Diversifier
CNC,Healthcare,tactical,4.0,Diversifier
COST,Consumer,tactical,4.0,Macro diversifier
CRM,Enterprise Software,secondary,4.0,AI capturer — Salesforce Einstein
CRWD,Cybersecurity,secondary,4.0,AI budget capturer — security
DDOG,Enterprise Software,secondary,4.0,AI capturer — data/observability moat
DNA,Biotech,lotto,3.0,Physical AI adjacent — synthetic biology
DUOL,SaaS Victim,lotto,4.0,Seat-count vulnerability — AI language models
ETSY,Consumer,tactical,4.0,SaaS victim — AI disruption
FIVN,SaaS Victim,lotto,4.0,Seat-count vulnerability — contact center AI
FSLY,Infrastructure,lotto,4.0,Edge compute — AI delivery
FTNT,Cybersecurity,secondary,4.0,AI budget capturer — security
GM,Automotive,tactical,3.0,Physical AI — autonomous vehicles
GME,Consumer,lotto,4.0,High beta speculative
GOOG,Hyperscaler,core,1.0,Search + GCP capex — AI infrastructure
HUM,Healthcare,tactical,4.0,Diversifier
HY,Financials,lotto,4.0,High beta speculative
INSM,Biotech,lotto,4.0,High beta speculative
INTC,Core Silicon,tactical,2.0,Restructuring — foundry bet
IREN,Neoclouds,lotto,4.0,High-beta AI infrastructure
JNJ,Healthcare,tactical,4.0,Diversifier
KVUE,Consumer,tactical,4.0,Macro diversifier
LLY,Healthcare,secondary,4.0,AI drug discovery — GLP-1 leader
LULU,Consumer,tactical,4.0,Macro diversifier
LYFT,Consumer,tactical,3.0,Physical AI — autonomous vehicle exposure
META,Hyperscaler,core,1.0,MTIA ASIC + capex — AI infrastructure
MP,Materials,secondary,1.0,Rare earth — AI hardware supply chain
MRNA,Biotech,tactical,4.0,AI drug discovery adjacent
MSFT,Hyperscaler,core,1.0,Azure + OpenAI — AI infrastructure
MU,Memory,core,1.0,HBM — sold out through 2027
NET,Infrastructure,secondary,4.0,AI capturer — networking/security moat
NFLX,Consumer Tech,tactical,4.0,AI content recommendation
NIO,Automotive,lotto,3.0,Physical AI — China EV
NOK,Networking,tactical,2.0,Telecom infrastructure
NVDA,Core Silicon,core,2.0,GPU dominance — AI training/inference
NVMI,Semiconductor Equipment,secondary,1.0,Advanced packaging inspection
NVO,Healthcare,secondary,4.0,GLP-1 — AI drug discovery adjacent
OKLO,Nuclear,lotto,1.0,SMR — power for AI datacenters
ONTO,Semiconductor Equipment,secondary,1.0,Advanced packaging inspection
OPEN,PropTech,lotto,4.0,High beta speculative
ORIC,Biotech,lotto,4.0,High beta speculative
PFE,Healthcare,tactical,4.0,Diversifier
PL,Space Tech,lotto,3.0,AI satellite imagery
PLTR,Enterprise Software,secondary,4.0,AI capturer — highest multiple risk
PUBM,Ad Tech,lotto,4.0,SaaS victim — AI disruption
PYPL,Fintech,tactical,4.0,AI disruption exposure
